,issn,journal_name,pub_name,is_hybrid,category,url
52,1540-8167,Journal of Cellular and Molecular Medicine,Wiley,0.0,Other,No Url
53,2277-5072,Bonfring International Journal of Power Systems and Integrated Circuits,Bonfring,0.0,Other,No Url
54,2300-8903,"Journal of Civil Engineering, Environment and Architecture",Rzeszow University of Technology,0.0,Technology,http://www.oficyna.portal.prz.edu.pl/pl/zeszyty-naukowe/czasopismo-inzynierii-ladowej-s/
55,2405-9595,ICT Express,Elsevier,0.0,Technology,http://www.journals.elsevier.com/ict-express/
56,2413-7464,Evropejskij Medicinskij ÔŅĹurnal. SeriÔŅĹ B,Academic Publishing House Researcher,0.0,Medicine,http://ejournal27.com/en/index.html
57,1179-0644,Cancer Growth and Metastasis,Libertas Academica,0.0,Medicine,http://www.la-press.com/cancer-growth-and-metastasis-journal-j122
58,2340-4396,AmÔŅĹrica Latina Hoy,Ediciones Universidad de Salamanca,0.0,Political science,http://revistas.usal.es/index.php/1130-2887/
59,2158-3188,Translational Psychiatry,Nature Publishing Group,0.0,Medicine,No Url
60,2090-6773,Case Reports in Otolaryngology,Hindawi Publishing Corporation,0.0,Medicine,https://www.hindawi.com/journals/criot/
61,1927-0585,Journal of Materials Science Research,Canadian Center of Science and Education,0.0,Other,No Url
62,2179-426X,Revista De Ensino De CiÔŅĹncias E MatemÔŅĹtica,Universidade Cruzeiro do Sul,0.0,Education,http://revistapos.cruzeirodosul.edu.br/index.php/rencima
63,2278-3369,International Journal of Advances in Social Science and Humanities,Other,0.0,Other,No Url
64,1748-9326,Environmental Research Letters,IOP Publishing,0.0,Technology,No Url
65,1920-7344,Communication,UniversitÔŅĹ Laval,0.0,Language and Literature,http://communication.revues.org
66,1760-4788,"The Journal of Nutrition, Health & Aging",Springer,1.0,Other,No Url
67,2336-6052,Acta Universitatis Carolinae: Kinanthropologica,Karolinum Press,0.0,Geography. Anthropology. Recreation,http://www.karolinum.cz/journals/kinanthropologica
68,1475-2859,Microbial Cell Factories,BioMed Central,0.0,Science,No Url
69,0975-9212,Chronicles of Young Scientists,Wolters Kluwer Medknow Publications,0.0,Medicine,http://www.ddtjournal.org/
70,2394-0913,International Journal of Management and Humanities (IJMH),Blue Eyes Intelligence Engineering & Sciences Publication,0.0,Other,No Url
71,2471-657X,International Journal of Dentistry and Oral Health,Bio Core (Biocore),0.0,Other,No Url
72,1677-941X,Acta BotÔŅĹnica BrasÔŅĹlica,Sociedade BotÔŅĹnica do Brasil,0.0,Science,http://www.scielo.br/scielo.php/script_sci_serial/lng_pt/pid_0102-3306/nrm_iso
73,2050-7771,Biomarker Research,BioMed Central,0.0,Science,http://www.biomarkerres.org/
74,2148-2969,Pediatric Urology Case Reports,Ped Urol Case Rep,0.0,Medicine,http://pediatricurologycasereports.com/
75,2353-8201,Prenatal Cardiology,De Gruyter Open,0.0,Medicine,http://www.degruyter.com/view/j/pcard
76,2196-4424,Korean Social Science Journal,Springer,1.0,Other,No Url
77,2155-1790,Cell Medicine,Cognizant Communication Corporation,0.0,Medicine,https://www.cognizantcommunication.com/journal-titles/cell-medicine
78,2276-9919,E3 Journal of Scientific Research,e3Journals,0.0,Other,No Url
79,0929-6646,Journal of the Formosan Medical Association,Other,0.0,Other,No Url
80,1617-6278,Vegetation History and Archaeobotany,Springer,1.0,Other,No Url
81,1531-135X,"Cognitive, Affective, & Behavioral Neuroscience",Springer,1.0,Other,No Url
82,1664-042X,Frontiers in Physiology,Frontiers,0.0,Other,No Url
83,2147-4516,Turkish History Education Journal,Turkish History Education Journal,0.0,Education,http://www.tuhed.org
84,0346-251X,System,Elsevier,0.0,Other,https://www.elsevier.com/journals/system/0346-251x/guide-for-authors
85,2314-4297,Paleontology Journal,Hindawi Publishing Corporation,0.0,Science,https://www.hindawi.com/journals/paleontology/
86,2016-0306,Canadian Chemical Transactions,Other,0.0,Other,No Url
87,1983-7348,Revista Digital Do LaboratÔŅĹrio De Artes Visuais,Universidade Federal de Santa Maria (UFSM) ,0.0,Fine Arts,https://periodicos.ufsm.br/revislav
88,1661-8300,Logica Universalis,Springer,1.0,Other,No Url
89,2057-1577,Virus Evolution,Oxford University Press,0.0,Science,http://ve.oxfordjournals.org/
90,1573-0387,Journal of the History of Biology,Springer,1.0,Other,No Url
91,2984-8733,Donnish Journal of Geology and Mining Research (DJGMR),Donnish Journals,0.0,Other,No Url
92,1994-7887,Journal of Environmental Science and Technology,Asian Network for Scientific Information (ansinet),0.0,Other,No Url
93,2518-2544,Asian Development Policy Review,Asian Economic and Social Society (AESS),0.0,Other,No Url
94,2356-2579,Techno.Com,Universitas Dian Nuswantoro,0.0,Technology,http://publikasi.dinus.ac.id/index.php/technoc/index
95,2198-9885,Evolutionary Psychological Science,Springer,1.0,Other,No Url
96,2378-2706,The VAD Journal: The Journal of Mechanical Assisted Circulation and Heart Failure,"Gill Heart Institute, University of Kentucky",0.0,Medicine,http://uknowledge.uky.edu/vad/
97,2518-0150,Asian Engineering Review,Asian Online Journal Publishing Group,0.0,Other,No Url
98,7801-2016,International Journal of Engineering Sciences & Management,Other,0.0,Other,No Url
99,1572-865X,Natural Language Semantics,Springer,1.0,Other,No Url
100,1618-7601,The European Journal of Health Economics,Springer,1.0,Other,No Url
101,2348-9820,Journal of Case Reports and Studies (JCRS),Annex Publishers,0.0,Other,No Url
102,2249-6998,International Journal of Big Data Research,BioInfo Publications,0.0,Other,No Url
103,1735-3645,Journal of Applied Fluid Mechanics,Regional Information Center for Science and Technology,0.0,Technology,http://www.jafmonline.net/
104,1748-2623,International Journal of Qualitative Studies on Health and Well-Being,Other,0.0,Other,No Url
105,1471-5546,Science and Engineering Ethics,Springer,1.0,Other,No Url
106,1866-8658,Business Research,Springer,0.0,Social Sciences,http://www.springer.com/40685
107,1995-4336,Schole,Novosibirsk State University Press,0.0,Language and Literature,http://www.nsu.ru/classics/schole/index.htm
108,2255-9671,Baltic Journal of Real Estate Economics and Construction Management,De Gruyter Open,0.0,Social Sciences,http://www.degruyter.com/view/j/bjreecm
109,2231-5705,AJPT - Asian Journal of Pharmacy and Technology,Asian Pharma Press,0.0,Other,No Url
110,2317-3394,"Revista Psicologia, Diversidade E SaÔŅĹde",Escola Bahiana de Medicina e SaÔŅĹde PÔŅĹblica,0.0,Philosophy. Psychology. Religion,http://www5.bahiana.edu.br/index.php/psicologia
111,1572-8374,Argumentation,Springer,1.0,Other,No Url
112,2193-9020,IZA Journal of Labor & Development,Springer,0.0,Social Sciences,http://www.izajold.com/
113,2199-4714,New Zealand Journal of Educational Studies,Springer,1.0,Other,No Url
114,2337-5426,Jurnal Komunitas,Universitas Negeri Semarang,0.0,Geography. Anthropology. Recreation,http://journal.unnes.ac.id/nju/index.php/komunitas
115,1432-1203,Human Genetics,Springer,1.0,Other,No Url
116,2197-1722,Decision,Springer,1.0,Other,No Url
117,1886-4996,IngenierÔŅĹa Del Agua,Universitat PolitÔŅĹcnica de ValÔŅĹncia,0.0,Technology,http://polipapers.upv.es/index.php/IA/index
118,1916-9752,Journal of Agricultural Science,Canadian Center of Science and Education,0.0,Other,No Url
119,2277-5099,Bonfring International Journal of Software Engineering and Soft Computing,Bonfring,0.0,Other,No Url
120,2347-2677,International Journal of Multidisciplinary Education and Research,Other,0.0,Other,No Url
121,2231-5403,Computer Science & Information Technology (CS & IT),AIRCC Publishing Corporation,0.0,Other,No Url
122,2277-1182,Abhinav - National Monthly Refereed Journal of Research in Arts & Education,Abhinav,0.0,Other,No Url
123,1311-0160,Balkan Journal of Medical Genetics,Other,0.0,Other,No Url
124,1477-7029,Electronic Journal of Business Research Methods,Academic Conference and Publishing International Limited,0.0,Social Sciences,http://www.ejbrm.com/ 
125,0534-0012,Genetika-Belgrade,Other,0.0,Other,No Url
126,2090-8245,Ecological Parasitology and Immunology (EPI),Ashdin Publishing,0.0,Other,No Url
127,1852-4524,Revista Argentina De Residentes De CirugÔŅĹA,AsociaciÔŅĹn Argentina de MÔŅĹdicos Residentes de CirugÔŅĹa General,0.0,Medicine,http://revista.aamrcg.org.ar/revista.html
128,2055-5822,ESC Heart Failure,Wiley,0.0,Medicine,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-5822
129,1869-4934,Empirische SonderpÔŅĹdagogik,Pabst Science Publishers,0.0,Education,http://www.psychologie-aktuell.com/index.php?id=empirische-sonderpaedagogik
130,1080-6059,Emerging Infectious Diseases,Centers for Disease Control and Prevention,0.0,Medicine,http://wwwnc.cdc.gov/eid/
131,0010-0870,College & Research Libraries,Other,0.0,Other,No Url
132,1179-6901,Drugs in R&d,Adis International,0.0,Other,No Url
133,2238-2720,Revista Bahiana De Odontologia,Escola Bahiana de Medicina e SaÔŅĹde PÔŅĹblica,0.0,Medicine,http://www5.bahiana.edu.br/index.php/odontologia
134,1474-7049,Evolutionary Psychology,Human Nature Review,0.0,Other,No Url
135,1988-3110,Archivo EspaÔŅĹol De ArqueologÔŅĹA,Consejo Superior de Investigaciones CientÔŅĹficas,0.0,Auxiliary sciences of history,http://aespa.revistas.csic.es/
136,2326-4233,Journal of Nutritional Ecology and Food Research,American Scientific Publishers,0.0,Other,No Url
137,0976-3248,International Journal of Mathematical Sciences & Applications,Other,0.0,Other,No Url
138,2059-1233,The AshEse Journal of Medicine and Medical Researches (AJMMR),AshEse Visionary,0.0,Other,No Url
139,2276-4275,Journal RESOLIS,Association RESOLIS,0.0,Social Sciences,http://www.resolis.org/uk
140,1847-117X,Suvremena Lingvistika,Hrvatsko filoloÔŅĹko druÔŅĹtvo,0.0,Language and Literature,http://suvlin.ffzg.hr/index.php/en/
141,2346-075X,Innovaciencia,Universidad de Santander,0.0,Science,http://revistas.udes.edu.co/site/index.php/innovaciencia/index
142,1505-1773,Polish Journal of Veterinary Sciences,Polish Academy of Sciences,0.0,Veterinary,No Url
143,2350-4226,Asian Studies,"Ljubljana University Press, Faculty of Arts (Znanstvena zaloÔŅĹba Filozofske fakultete Univerze v Ljubljani)",0.0,Social Sciences,http://revije.ff.uni-lj.si/as/
144,1941-0832,Radical Teacher,"University Library System, University of Pittsburgh",0.0,Education,http://radicalteacher.library.pitt.edu
145,2456-043X,International Journal of Engineering Science and Generic Research,Other,0.0,Other,No Url
146,2472-3649,Annals of Translational Medicine & Epidemiology,Austin Publishing Group,0.0,Other,No Url
147,2321-0893,Asian Journal of Applied Sciences,Asian Online Journals,0.0,Other,No Url
148,1232-1966,Annals of Agricultural and Environmental Medicine,Other,0.0,Other,No Url
149,1338-984X,Quality Innovation Prosperity,Technical University of Kosice  ,0.0,Social Sciences,http://www.qip-journal.eu/
150,2175-8042,MotrivivÔŅĹncia,Universidade Federal de Santa Catarina,0.0,Education,https://periodicos.ufsc.br/index.php/motrivivencia
151,0962-9351,Mediators of Inflammation,Other,0.0,Other,No Url
152,1735-5265,Iranian Polymer Journal,Springer,1.0,Other,No Url
153,2365-9459,China Foundry,Springer,1.0,Other,No Url
154,2340-6992,l'Atalante,AssociaciÔŅĹ CinefÔŅĹrum L'Atalante,0.0,Language and Literature,http://www.revistaatalante.com
155,2310-0532,Baltijskij Region,Immanuel Kant Baltic Federal University,0.0,Political science,http://journals.kantiana.ru/baltic_region/
156,2442-5249,Ulul Albab,UIN Press,0.0,Philosophy. Psychology. Religion,http://ejournal.uin-malang.ac.id/index.php/ululalbab
157,2331-1983,Cogent Arts & Humanities,Cogent OA,0.0,Fine Arts,http://cogentoa.tandfonline.com/journal/oaah20
158,4391-9337,Canadian International Journal of Science and Technology,Other,0.0,Other,No Url
159,2394-6504,Journal of Clinical and Experimental Research in Cardiology (JCERC),Annex Publishers,0.0,Other,No Url
160,2072-6694,Cancers,Mdpi,0.0,Other,No Url
161,1678-9199,Journal of Venomous Animals and Toxins Including Tropical Diseases,Self Owned - Non-Profit Society,0.0,Other,No Url
162,1743-1050,Journal of Experimental & Clinical Assisted Reproduction,Biomed Central Ltd,0.0,Other,No Url
163,2472-3517,Austin Virology and Retrovirology,Austin Publishing Group,0.0,Other,No Url
164,2214-0271,HeartRhythm Case Reports,Elsevier,0.0,Medicine,http://www.journals.elsevier.com/heartrhythm-case-reports/
165,1573-7578,Distributed and Parallel Databases,Springer,1.0,Other,No Url
166,2178-3748,Oficina Do Historiador,Editora da PontifÔŅĹcia Universidade CatÔŅĹlica do Rio Grande do Sul (EDIPUCRS),0.0,History America,http://revistaseletronicas.pucrs.br/ojs/index.php/oficinadohistoriador/index
167,0102-7638,Revista Brasileira De Cirurgia Cardiovascular,Other,0.0,Other,No Url
168,2288-7474,Science Editing ,Korean Council of Science Editors ,0.0,Science,http://www.escienceediting.org/
169,2166-6482,Pediatric Neurology Briefs,Pediatric Neurology Briefs Publishers,0.0,Medicine,http://www.pediatricneurologybriefs.com
170,0972-7272,Journal of Digital Information Management,Digital Information Research Foundation (DIRF),0.0,Other,No Url
171,0373-2029,Archives of Mechanics,Polish Academy of Sciences,0.0,STRUCTURAL ENGINEERING,No Url
172,1613-978X,Wirtschaftsdienst,Springer,1.0,Other,No Url
173,2284-6492,Supply Chain Management Journal,Valahia University Press,0.0,Social Sciences,http://scm-journal.com/
174,1110-1180,Engineering Research Journal,Other,0.0,Other,No Url
175,2378-9867,Austin Biomarkers & Diagnosis,Austin Publishing Group,0.0,Other,No Url
176,2333-5920,Journal of Social Welfare and Human Rights,American Research Institute for Policy Development,0.0,Other,No Url
177,1969-6302,Sillages Critiques,"Centre de Recherche \Texte et Critique de Texte\""""",0.0,Language and Literature,http://sillagescritiques.revues.org
178,1864-6433,Annals of Nuclear Medicine,Springer,1.0,Other,No Url
179,1432-0843,Cancer Chemotherapy and Pharmacology,Springer,1.0,Other,No Url
180,2314-6532,Journal of Mining,Hindawi Publishing Corporation,0.0,Technology,https://www.hindawi.com/journals/jmin/
181,1664-3224,Frontiers in Immunology,Frontiers Media S.A.,0.0,Medicine,No Url
182,2249-9598,International Educational E-Journal,Other,0.0,Other,No Url
183,0003-5521,L'anthropologie,Elsevier,10.0,Anthropology,No Url
184,1839-6283,International Journal of Fuzzy Logic Systems (IJFLS),AIRCC Publishing Corporation,0.0,Other,No Url
185,2386-4893,BoletÔŅĹn De La AsociaciÔŅĹn Internacional De Derecho Cooperativo,Universidad de Deusto,0.0,Law,http://baidc.deusto.es
186,1854-620X,Geologija ,Geological Survey of Slovenia,0.0,Science,http://www.geologija-revija.si
187,2345-5594,Journal of Intelligent Procedures in Electrical Technology,"Najafabad Branch, Islamic Azad University",0.0,Technology,http://jipet.iaun.ac.ir/
188,1548-6605,US-China Law Review,David Publishing,0.0,Other,No Url
189,2317-3580,Revista Thesis Juris,Universidade Nove de Julho,0.0,Law,http://www.revistartj.org.br/ojs/index.php/rtj/index
190,2231-6663,International Journal on Cloud Computing: Services and Architecture (IJCCSA),AIRCC Publishing Corporation,0.0,Other,No Url
191,2333-5866,Journal of International Relations and Foreign Policy,American Research Institute for Policy Development,0.0,Other,No Url
192,2198-4034,International Journal of Implant Dentistry,Springer,0.0,Medicine,http://www.journalimplantdent.com
193,2000-9011,Socioaffective Neuroscience & Psychology,Co-Action Publishing,0.0,Medicine,http://www.socioaffectiveneuroscipsychol.net
194,1213-3809,Paidagogos,"Paidagogos - Society For Philosophy, Theory and Praxis of Education",0.0,Education,http://www.paidagogos.net/
195,2423-6837,Journal of Ultrafine Grained and Nanostructured Materials,University of Tehran,0.0,Technology,https://jufgnsm.ut.ac.ir/
196,2198-4999,International Journal of Languages' Education and Teaching,Aktuell Verlag,0.0,Language and Literature,http://ijlet.com/Anasayfa.aspx
197,2349-459X,BMR Biotechnology,BioMed Research,0.0,Other,No Url
198,1214-0287,Journal of Applied Biomedicine,Versita,0.0,Other,No Url
199,2451-3121,Population Horizons,De Gruyter Open,0.0,Social Sciences,http://www.degruyter.com/view/j/pophzn
200,2090-777X,Journal of Criminology,Hindawi Publishing Corporation,0.0,Social Sciences,https://www.hindawi.com/journals/jcrim/
201,0973-7138,Journal of Biosciences,Springer,0.0,Other,No Url
202,1677-6062,Revista De CiÔŅĹncias Agroambientais,Universidade do Estado de Mato Grosso,0.0,Agriculture | Science,http://periodicos.unemat.br/index.php/rcaa/index
203,2222-4629,Tobacco Control and Public Health in Eastern Europe,Tobacco Control and Public Health in Eastern Europe,0.0,Medicine,http://journals.uran.ua/tcphee
204,2386-8635,Philologica Canariensia,Universidad de Las Palmas de Gran Canaria,0.0,Language and Literature,http://ojsspdc.ulpgc.es/ojs/index.php/PhilCan
206,2141-2618,Journal of Medical Laboratory and Diagnosis,Academic Journals,0.0,Other,No Url
207,2349-6800,International Journal of Multidisciplinary Education and Research,Other,0.0,Other,No Url
208,1874-8953,Mathematical Geosciences,Springer,1.0,Other,No Url
209,1596-9886,International Journal of Health Research,Other,0.0,Other,No Url
210,1573-0786,Dialectical Anthropology,Springer,1.0,Other,No Url
211,2378-7716,Heart Health Open Access Journal,Aperito Online Publishing,0.0,Other,No Url
213,1452-3981,International Journal of Electrochemical Science,Other,0.0,Other,No Url
214,0973-7111,Pramana-Journal of Physics,Springer,0.0,Other,No Url
215,1563-5031,Active and Passive Electronic Components,Hindawi Publishing Corporation,0.0,Technology,https://www.hindawi.com/journals/apec/
216,1439-0574,European Journal of Wildlife Research,Springer,1.0,Other,No Url
217,1988-320X,Sefarad : Revista De Estudios Hebraicos Y SefardÔŅĹes,Consejo Superior de Investigaciones CientÔŅĹficas,0.0,Language and Literature,http://sefarad.revistas.csic.es
218,2349-7300,International Journal of Innovative Research in Engineering & Multidisciplinary Physical Sciences,Other,0.0,Other,No Url
219,2346-3414,Revista Cuidarte,Universidad de Santander,0.0,Medicine,http://revistas.udes.edu.co/site/index.php/cuidarte
220,2247-9104,Amfiteatru Economic,Academy of Economic Studies of Bucharest,0.0,Social Sciences,http://www.amfiteatrueconomic.ro/Home_EN.aspx
221,2220-5772,International Journal of Bahamian Studies,University of the Bahamas,0.0,Geography. Anthropology. Recreation,http://journals.sfu.ca/cob/index.php/files/index
222,2150-2161,Experiment,Other,0.0,Other,No Url
223,1613-7817,Wiener Klinisches Magazin,Springer,1.0,Other,No Url
224,2193-9616,In Silico Pharmacology,Springer,0.0,Other,No Url
225,2363-5045,Sustainable Water Resources Management,Springer,1.0,Other,No Url
226,1573-0689,Journal of Biological Physics,Springer,1.0,Other,No Url
227,1751-8253,Green Chemistry Letters and Reviews,Other,0.0,Other,No Url
228,0717-9758,DiseÔŅĹo Urbano Y Paisaje,Universidad Central de Chile,0.0,Fine Arts,http://www.ucentral.cl/dup/
229,2314-7857,Advances in Botany,Hindawi Publishing Corporation,0.0,Science,https://www.hindawi.com/journals/abot/
230,2089-4392,Jurnal Pendidikan IPA Indonesia,Universitas Negeri Semarang ,0.0,Education,http://journal.unnes.ac.id/nju/index.php/jpii
231,1432-0460,Dysphagia,Springer,1.0,Other,No Url
232,2216-0388,Mundo Fesc,FundaciÔŅĹn de Estudios Superiores Comfanorte,0.0,Science,http://www.fesc.edu.co/Revistas/OJS/index.php/mundofesc/index
233,1476-9433,Medical Immunology,Biomed Central Ltd,0.0,Other,No Url
234,1662-6427,Frontiers in Neuroenergetics,Frontiers Media S.A.,0.0,Medicine,http://www.frontiersin.org/neuroenergetics/
235,2183-2269,ComunicaÔŅĹÔŅĹo PÔŅĹblica,Escola Superior de ComunicaÔŅĹÔŅĹo Social,0.0,Language and Literature,http://www.cp.revues.org
236,2350-0204,International Journal of Ayurveda and Pharmaceutical Chemistry,Other,0.0,Other,No Url
237,1420-9055,Aquatic Sciences,Springer,1.0,Other,No Url
238,1929-2716,International Journal of Electrical and Computer Systems (IJECS),Avestia Publishing,0.0,Other,No Url
239,2446-4740,Research on Biomedical Engineering,Sociedade Brasileira de Engenharia BiomÔŅĹdica,0.0,Technology,http://www.scielo.br/scielo.php?script=sci_serial&pid=2446-4740&lng=en&nrm=iso
240,2141-2685,Journal of Diabetes and Endocrinology,Academic Journals,0.0,Other,No Url
241,1886-516X,Revista De MÔŅĹtodos Cuantitativos Para La EconomÔŅĹa Y La Empresa,Pablo de Olavide University,0.0,Technology,https://www.upo.es/revistas/index.php/RevMetCuant/index
242,1179-1365,"Drug, Healthcare and Patient Safety",Dove Medical Press,0.0,Medicine,http://www.dovepress.com/drug-healthcare-and-patient-safety-journal
243,2393-9869,International Journal of Integrated Medical Research,Other,0.0,Other,No Url
244,5485-5495,International Journal of Informative and Futuristic Research,Other,0.0,Other,No Url
245,1570-0267,Journal of Structural and Functional Genomics,Springer,1.0,Other,No Url
246,1179-1934,Cns Drugs,Springer,1.0,Other,No Url
247,2308-9830,International Journal of Computer Networks and Communications Security,Other,0.0,Other,No Url
248,1663-9391,International Development Policy/Revue Internationale De Politique De DÔŅĹveloppement,Institut de Hautes ÔŅĹtudes Internationales et du DÔŅĹveloppement,0.0,Political science,http://poldev.revues.org/
249,2410-0862,The Iraqi Journal of Agricultural Science,Baghdad University,0.0,Agriculture,http://jcoagri.uobaghdad.edu.iq/
250,2394-4196,International Journal of Dental and Medical Speciality,Academics World,0.0,Other,No Url
251,2345-3672,Iranian Journal of Medical Physics,Mashhad University of Medical Sciences,0.0,Medicine,http://ijmp.mums.ac.ir/
252,2215-2202,AgronomÔŅĹa Costarricense,Universidad de Costa Rica,0.0,Agriculture,http://www.mag.go.cr/rev_agr/index.html
253,2041-7314,Journal of Tissue Engineering,SAGE Publishing,0.0,Science,http://tej.sagepub.com/
254,1280-9551,Zoosystema,Self Owned - Non-Profit Society,0.0,Ecology and Evolution,No Url
255,1758-2946,Journal of Cheminformatics,Springer,0.0,Other,No Url
256,1472-684X,BMC Palliative Care,BMC-Springer,0.0,MEDICINE,No Url
257,2447-942X,Revista Hydra,Universidade Federal de SÔŅĹo Paulo,0.0,History (General) and history of Europe,http://hydra.unifesp.br/
258,2084-8846,Non-Genetic Inheritance,De Gruyter Open,0.0,Science,http://www.degruyter.com/view/j/ngi
259,2465-6089,"Sri Lanka Journal of Forensic Medicine, Science & Law ",University of Peradeniya,0.0,Law,http://sljfmsl.sljol.info/
260,2262-8363,Moussons,UniversitÔŅĹ de Provence,0.0,History (General) and history of Europe,http://moussons.revues.org/
262,1893-8981,Uniped,Universitetsforlaget,0.0,Education,https://www.idunn.no/uniped
